	1	2	3	4	5	6	7	8	9	10	11	12
A	angle117_2_57	angle153_1_01	angle153_1_09	angle153_1_17	angle153_1_25	angle153_1_33	angle153_2_01	angle153_2_09	angle153_2_17	angle153_2_25	angle153_2_33	angle153_2_41
B	angle117_2_58	angle153_1_02	angle153_1_10	angle153_1_18	angle153_1_26	angle153_1_34	angle153_2_02	angle153_2_10	angle153_2_18	angle153_2_26	angle153_2_34	angle153_2_42
C	angle117_2_59	angle153_1_03	angle153_1_11	angle153_1_19	angle153_1_27	angle153_1_35	angle153_2_03	angle153_2_11	angle153_2_19	angle153_2_27	angle153_2_35	angle153_2_43
D	angle117_2_60	angle153_1_04	angle153_1_12	angle153_1_20	angle153_1_28	angle153_1_36	angle153_2_04	angle153_2_12	angle153_2_20	angle153_2_28	angle153_2_36	angle153_2_44
E	angle117_2_61	angle153_1_05	angle153_1_13	angle153_1_21	angle153_1_29	angle153_1_37	angle153_2_05	angle153_2_13	angle153_2_21	angle153_2_29	angle153_2_37	angle153_2_45
F	angle117_2_62	angle153_1_06	angle153_1_14	angle153_1_22	angle153_1_30	angle153_1_38	angle153_2_06	angle153_2_14	angle153_2_22	angle153_2_30	angle153_2_38	angle153_2_46
G	angle117_2_63	angle153_1_07	angle153_1_15	angle153_1_23	angle153_1_31	angle153_1_39	angle153_2_07	angle153_2_15	angle153_2_23	angle153_2_31	angle153_2_39	angle153_2_47
H	angle117_2_64	angle153_1_08	angle153_1_16	angle153_1_24	angle153_1_32	angle153_1_40	angle153_2_08	angle153_2_16	angle153_2_24	angle153_2_32	angle153_2_40	angle153_2_48
