	1	2	3	4	5	6	7	8	9	10	11	12
A	angle45_1_01	angle45_1_09	angle45_1_17	angle45_1_25	angle45_2_01	angle45_2_09	angle45_2_17	angle45_2_25	angle45_2_33	angle45_2_41	angle45_2_49	angle45_2_57
B	angle45_1_02	angle45_1_10	angle45_1_18	angle45_1_26	angle45_2_02	angle45_2_10	angle45_2_18	angle45_2_26	angle45_2_34	angle45_2_42	angle45_2_50	angle45_2_58
C	angle45_1_03	angle45_1_11	angle45_1_19	angle45_1_27	angle45_2_03	angle45_2_11	angle45_2_19	angle45_2_27	angle45_2_35	angle45_2_43	angle45_2_51	angle45_2_59
D	angle45_1_04	angle45_1_12	angle45_1_20	angle45_1_28	angle45_2_04	angle45_2_12	angle45_2_20	angle45_2_28	angle45_2_36	angle45_2_44	angle45_2_52	angle45_2_60
E	angle45_1_05	angle45_1_13	angle45_1_21	angle45_1_29	angle45_2_05	angle45_2_13	angle45_2_21	angle45_2_29	angle45_2_37	angle45_2_45	angle45_2_53	angle45_2_61
F	angle45_1_06	angle45_1_14	angle45_1_22	angle45_1_30	angle45_2_06	angle45_2_14	angle45_2_22	angle45_2_30	angle45_2_38	angle45_2_46	angle45_2_54	angle45_2_62
G	angle45_1_07	angle45_1_15	angle45_1_23	angle45_1_31	angle45_2_07	angle45_2_15	angle45_2_23	angle45_2_31	angle45_2_39	angle45_2_47	angle45_2_55	angle45_2_63
H	angle45_1_08	angle45_1_16	angle45_1_24	angle45_1_32	angle45_2_08	angle45_2_16	angle45_2_24	angle45_2_32	angle45_2_40	angle45_2_48	angle45_2_56	angle45_2_64
