	1	2	3	4	5	6	7	8	9	10	11	12
A	angle117_1_01	angle117_1_09	angle117_1_17	angle117_1_25	angle117_1_33	angle117_2_01	angle117_2_09	angle117_2_17	angle117_2_25	angle117_2_33	angle117_2_41	angle117_2_49
B	angle117_1_02	angle117_1_10	angle117_1_18	angle117_1_26	angle117_1_34	angle117_2_02	angle117_2_10	angle117_2_18	angle117_2_26	angle117_2_34	angle117_2_42	angle117_2_50
C	angle117_1_03	angle117_1_11	angle117_1_19	angle117_1_27	angle117_1_35	angle117_2_03	angle117_2_11	angle117_2_19	angle117_2_27	angle117_2_35	angle117_2_43	angle117_2_51
D	angle117_1_04	angle117_1_12	angle117_1_20	angle117_1_28	angle117_1_36	angle117_2_04	angle117_2_12	angle117_2_20	angle117_2_28	angle117_2_36	angle117_2_44	angle117_2_52
E	angle117_1_05	angle117_1_13	angle117_1_21	angle117_1_29	angle117_1_37	angle117_2_05	angle117_2_13	angle117_2_21	angle117_2_29	angle117_2_37	angle117_2_45	angle117_2_53
F	angle117_1_06	angle117_1_14	angle117_1_22	angle117_1_30	angle117_1_38	angle117_2_06	angle117_2_14	angle117_2_22	angle117_2_30	angle117_2_38	angle117_2_46	angle117_2_54
G	angle117_1_07	angle117_1_15	angle117_1_23	angle117_1_31	angle117_1_39	angle117_2_07	angle117_2_15	angle117_2_23	angle117_2_31	angle117_2_39	angle117_2_47	angle117_2_55
H	angle117_1_08	angle117_1_16	angle117_1_24	angle117_1_32	angle117_1_40	angle117_2_08	angle117_2_16	angle117_2_24	angle117_2_32	angle117_2_40	angle117_2_48	angle117_2_56
