	1	2	3	4	5	6	7	8	9	10	11	12
A	angle81_1_09	angle81_1_17	angle81_1_25	angle81_1_33	angle81_1_41	angle81_1_49	angle81_1_57	angle81_2_01	angle81_2_09	angle81_2_17	angle81_2_25	angle81_2_33
B	angle81_1_10	angle81_1_18	angle81_1_26	angle81_1_34	angle81_1_42	angle81_1_50	angle81_1_58	angle81_2_02	angle81_2_10	angle81_2_18	angle81_2_26	angle81_2_34
C	angle81_1_11	angle81_1_19	angle81_1_27	angle81_1_35	angle81_1_43	angle81_1_51	angle81_1_59	angle81_2_03	angle81_2_11	angle81_2_19	angle81_2_27	angle81_2_35
D	angle81_1_12	angle81_1_20	angle81_1_28	angle81_1_36	angle81_1_44	angle81_1_52	angle81_1_60	angle81_2_04	angle81_2_12	angle81_2_20	angle81_2_28	angle81_2_36
E	angle81_1_13	angle81_1_21	angle81_1_29	angle81_1_37	angle81_1_45	angle81_1_53	angle81_1_61	angle81_2_05	angle81_2_13	angle81_2_21	angle81_2_29	angle81_2_37
F	angle81_1_14	angle81_1_22	angle81_1_30	angle81_1_38	angle81_1_46	angle81_1_54	angle81_1_62	angle81_2_06	angle81_2_14	angle81_2_22	angle81_2_30	angle81_2_38
G	angle81_1_15	angle81_1_23	angle81_1_31	angle81_1_39	angle81_1_47	angle81_1_55	angle81_1_63	angle81_2_07	angle81_2_15	angle81_2_23	angle81_2_31	angle81_2_39
H	angle81_1_16	angle81_1_24	angle81_1_32	angle81_1_40	angle81_1_48	angle81_1_56	angle81_1_64	angle81_2_08	angle81_2_16	angle81_2_24	angle81_2_32	angle81_2_40
