	1	2	3	4	5	6	7	8	9	10	11	12
A	angle81_1_01	angle81_2_41	angle9_1_01	angle9_1_09	angle9_2_01	angle9_2_09	angle9_2_17	angle9_2_25	angle9_2_33	angle9_2_41	angle9_2_49	angle9_2_57
B	angle81_1_02	angle81_2_42	angle9_1_02	angle9_1_10	angle9_2_02	angle9_2_10	angle9_2_18	angle9_2_26	angle9_2_34	angle9_2_42	angle9_2_50	angle9_2_58
C	angle81_1_03	angle81_2_43	angle9_1_03	angle9_1_11	angle9_2_03	angle9_2_11	angle9_2_19	angle9_2_27	angle9_2_35	angle9_2_43	angle9_2_51	angle9_2_59
D	angle81_1_04	angle81_2_44	angle9_1_04	angle9_1_12	angle9_2_04	angle9_2_12	angle9_2_20	angle9_2_28	angle9_2_36	angle9_2_44	angle9_2_52	angle9_2_60
E	angle81_1_05	angle81_2_45	angle9_1_05	angle9_1_13	angle9_2_05	angle9_2_13	angle9_2_21	angle9_2_29	angle9_2_37	angle9_2_45	angle9_2_53	angle9_2_61
F	angle81_1_06	angle81_2_46	angle9_1_06	angle9_1_14	angle9_2_06	angle9_2_14	angle9_2_22	angle9_2_30	angle9_2_38	angle9_2_46	angle9_2_54	angle9_2_62
G	angle81_1_07	angle81_2_47	angle9_1_07	angle9_1_15	angle9_2_07	angle9_2_15	angle9_2_23	angle9_2_31	angle9_2_39	angle9_2_47	angle9_2_55	angle9_2_63
H	angle81_1_08	angle81_2_48	angle9_1_08	angle9_1_16	angle9_2_08	angle9_2_16	angle9_2_24	angle9_2_32	angle9_2_40	angle9_2_48	angle9_2_56	angle9_2_64
